video,tracker,avg_iou,avg_fps
Basketball,KCF,0.0037,647
Basketball,CSRT,0.2887,65
Basketball,MOSSE,0.0000,6611
Basketball,MedianFlow,0.0309,2517
Biker,KCF,0.1095,2119
Biker,CSRT,0.2515,71
Biker,MOSSE,0.0000,15678
Biker,MedianFlow,0.3897,2564
Bird2,KCF,0.0402,365
Bird2,CSRT,0.6079,49
Bird2,MOSSE,0.7078,3379
Bird2,MedianFlow,0.0963,1298
BlurBody,KCF,0.0682,179
BlurBody,CSRT,0.6507,37
BlurBody,MOSSE,0.0000,1426
BlurBody,MedianFlow,0.2503,1128
BlurCar1,KCF,0.2462,456
BlurCar1,CSRT,0.7652,45
BlurCar1,MOSSE,0.1081,2067
BlurCar1,MedianFlow,0.0658,1279
BlurCar2,KCF,0.2413,320
BlurCar2,CSRT,0.8209,44
BlurCar2,MOSSE,0.6278,1650
BlurCar2,MedianFlow,0.4745,1019
BlurCar3,KCF,0.1856,369
BlurCar3,CSRT,0.2117,48
BlurCar3,MOSSE,0.1513,4879
BlurCar3,MedianFlow,0.1904,1056
BlurCar4,KCF,0.7401,142
BlurCar4,CSRT,0.7661,43
BlurCar4,MOSSE,0.6688,940
BlurCar4,MedianFlow,0.3547,1065
BlurFace,KCF,0.5465,300
BlurFace,CSRT,0.7638,45
BlurFace,MOSSE,0.3139,2425
BlurFace,MedianFlow,0.7747,1067
BlurOwl,KCF,0.0890,374
BlurOwl,CSRT,0.8112,48
BlurOwl,MOSSE,0.0474,3855
BlurOwl,MedianFlow,0.0994,1094
Board,KCF,0.6233,104
Board,CSRT,0.6130,33
Board,MOSSE,0.6697,757
Board,MedianFlow,0.3375,1099
Bolt,KCF,0.0043,929
Bolt,CSRT,0.6773,68
Bolt,MOSSE,0.0000,9063
Bolt,MedianFlow,0.0101,2705
Bolt2,KCF,0.0052,792
Bolt2,CSRT,0.6453,48
Bolt2,MOSSE,0.0000,7892
Bolt2,MedianFlow,0.0492,3435
Box,KCF,0.0697,388
Box,CSRT,0.3341,47
Box,MOSSE,0.2524,1987
Box,MedianFlow,0.2334,1114
Boy,KCF,0.1350,988
Boy,CSRT,0.7908,67
Boy,MOSSE,0.0000,9106
Boy,MedianFlow,0.3124,1092
Car1,KCF,0.0784,505
Car1,CSRT,0.2692,66
Car1,MOSSE,0.0832,3976
Car1,MedianFlow,0.1571,3625
Car2,KCF,0.6157,313
Car2,CSRT,0.8359,63
Car2,MOSSE,0.6603,3751
Car2,MedianFlow,0.2764,3737
Car24,KCF,0.4094,919
Car24,CSRT,0.4340,75
Car24,MOSSE,0.1139,14490
Car24,MedianFlow,0.0087,5024
Car4,KCF,0.2098,470
Car4,CSRT,0.8419,59
Car4,MOSSE,0.4700,2002
Car4,MedianFlow,0.1609,3493
CarDark,KCF,0.5428,994
CarDark,CSRT,0.8724,61
CarDark,MOSSE,0.6257,9923
CarDark,MedianFlow,0.3450,2756
CarScale,KCF,0.3984,862
CarScale,CSRT,0.5942,67
CarScale,MOSSE,0.4113,7169
CarScale,MedianFlow,0.4957,2835
ClifBar,KCF,0.0627,953
ClifBar,CSRT,0.5041,80
ClifBar,MOSSE,0.1177,7655
ClifBar,MedianFlow,0.1639,2903
Coke,KCF,0.0546,509
Coke,CSRT,0.5540,51
Coke,MOSSE,0.1561,4998
Coke,MedianFlow,0.1598,1088
Couple,KCF,0.0182,939
Couple,CSRT,0.3708,69
Couple,MOSSE,0.0000,8685
Couple,MedianFlow,0.2247,3707
Crowds,KCF,0.0076,1182
Crowds,CSRT,0.6475,74
Crowds,MOSSE,0.0000,13565
Crowds,MedianFlow,0.1226,1159
Dancer,KCF,0.1122,311
Dancer,CSRT,0.7515,57
Dancer,MOSSE,0.4018,3294
Dancer,MedianFlow,0.3084,3027
